Accessibility (m),Will use/not use?
500,ไม่ใช้
500,ไม่ใช้
600,ใช้
800,ใช้
1000,ใช้
2000,ไม่ใช้
200,ไม่ใช้
400,ใช้
800,ใช้
500,ใช้
50,ใช้
300,ไม่ใช้
500,ไม่ใช้
50,ใช้
900,ใช้
100,ไม่ใช้
2000,ไม่ใช้
500,ไม่ใช้
1000,ไม่ใช้
500,ไม่ใช้
800,ไม่ใช้
1000,ไม่ใช้
500,ใช้
150,ไม่ใช้
200,ไม่ใช้
800,ไม่ใช้
1000,ใช้
500,ไม่ใช้
100,ใช้
100,ใช้
2000,ไม่ใช้
50,ใช้
500,ไม่ใช้
300,ใช้
500,ไม่ใช้
1000,ใช้
1000,ไม่ใช้
200,ใช้
400,ไม่ใช้
1000,ไม่ใช้
100,ใช้
700,ไม่ใช้
300,ไม่ใช้
400,ใช้
100,ไม่ใช้
500,ใช้
500,ไม่ใช้
800,ใช้
800,ใช้
300,ใช้
1000,ไม่ใช้
500,ไม่ใช้
200,ไม่ใช้
800,ใช้
500,ไม่ใช้
100,ไม่ใช้
20,ไม่ใช้
1000,ไม่ใช้
100,ไม่ใช้
100,ไม่ใช้
800,ใช้
500,ใช้
500,ไม่ใช้
500,ใช้
500,ใช้
,
500,ไม่ใช้
200,ใช้
800,ใช้
1000,ใช้
500,ไม่ใช้
700,ใช้
0,ใช้
300,ใช้
250,ใช้
500,ไม่ใช้
800,ใช้
300,ใช้
100,ไม่ใช้
300,ใช้
300,ไม่ใช้
100,ไม่ใช้
400,ไม่ใช้
2000,ไม่ใช้
500,ไม่ใช้
300,ไม่ใช้
300,ใช้
300,ไม่ใช้
100,ใช้
50,ไม่ใช้
500,ไม่ใช้
300,ไม่ใช้
500,ใช้
100,ใช้
500,ไม่ใช้
700,ใช้
600,ใช้
500,ใช้
500,ไม่ใช้
500,ไม่ใช้
1000,ใช้
100,ไม่ใช้
300,ไม่ใช้
500,ไม่ใช้
300,ใช้
500,ไม่ใช้
200,ใช้
500,ไม่ใช้
300,ใช้
11.75,ไม่ใช้
500,ใช้
1000,ไม่ใช้
200,ไม่ใช้
500,ไม่ใช้
300,ไม่ใช้
2,ใช้
80,ใช้
1000,ไม่ใช้
700,ใช้
500,ไม่ใช้
100,ใช้
5,ใช้
200,ไม่ใช้
800,ใช้
200,ไม่ใช้
1000,ไม่ใช้
30,ไม่ใช้
100,ใช้
500,ไม่ใช้
1000,ใช้
1000,ไม่ใช้
100,ไม่ใช้
200,ใช้
100,ไม่ใช้
500,ใช้
500,ใช้
500,ใช้
500,ไม่ใช้
1000,ไม่ใช้
500,ไม่ใช้
2000,ไม่ใช้
500,ไม่ใช้
300,ไม่ใช้
200,ไม่ใช้
100,ใช้
100,ไม่ใช้
600,ไม่ใช้
500,ไม่ใช้
400,ไม่ใช้
1000,ไม่ใช้
400,ไม่ใช้
150,ไม่ใช้
1000,ไม่ใช้
1000,ไม่ใช้
700,ไม่ใช้
300,ใช้
1000,ใช้
700,ไม่ใช้
500,ใช้
600,ไม่ใช้
10,ไม่ใช้
200,ไม่ใช้
90,ไม่ใช้
50,ไม่ใช้
800,ใช้
500,ไม่ใช้
100,ใช้
100,ไม่ใช้
800,ใช้
50,ไม่ใช้
300,ใช้
500,ไม่ใช้
200,ใช้
600,ใช้
800,ใช้
500,ใช้
300,ใช้
300,ใช้
400,ใช้
500,ใช้
10,ใช้
500,ใช้
1000,ไม่ใช้
500,ใช้
70,ไม่ใช้
100,ใช้
200,ไม่ใช้
100,ไม่ใช้
1000,ไม่ใช้
700,ใช้
1000,ใช้
500,ใช้
600,ไม่ใช้
500,ใช้
300,ไม่ใช้
1000,ไม่ใช้
500,ไม่ใช้
150,ไม่ใช้
700,ไม่ใช้
400,ใช้
1500,ไม่ใช้
300,ใช้
300,ไม่ใช้
500,ใช้
800,ไม่ใช้
1000,ไม่ใช้
300,ใช้
100,ใช้
1000,ไม่ใช้
500,ใช้
100,ไม่ใช้
200,ใช้
500,ใช้
800,ไม่ใช้
800,ใช้
500,ไม่ใช้
500,ไม่ใช้
100,ใช้
500,ไม่ใช้
500,ใช้
500,ไม่ใช้
500,ไม่ใช้
1000,ไม่ใช้
500,ไม่ใช้
300,ใช้
200,ใช้
350,ใช้
200,ใช้
10,ไม่ใช้
10,ใช้
500,ไม่ใช้
500,ไม่ใช้
50,ใช้
2000,ใช้
