Duration/trip (Min),Will use/not use?
50,ไม่ใช้
30,ไม่ใช้
45,ใช้
15,ใช้
30,ใช้
20,ไม่ใช้
35,ไม่ใช้
15,ใช้
40,ใช้
40,ใช้
45,ใช้
25,ไม่ใช้
60,ไม่ใช้
20,ใช้
90,ใช้
20,ไม่ใช้
10,ไม่ใช้
30,ไม่ใช้
30,ไม่ใช้
30,ไม่ใช้
30,ไม่ใช้
50,ไม่ใช้
10,ใช้
15,ไม่ใช้
15,ไม่ใช้
10,ไม่ใช้
60,ใช้
45,ไม่ใช้
5,ใช้
50,ใช้
15,ไม่ใช้
30,ใช้
20,ไม่ใช้
5,ใช้
60,ไม่ใช้
60,ใช้
20,ไม่ใช้
20,ใช้
20,ไม่ใช้
10,ไม่ใช้
30,ใช้
30,ไม่ใช้
45,ไม่ใช้
10,ใช้
90,ไม่ใช้
10,ใช้
60,ไม่ใช้
30,ใช้
75,ใช้
20,ใช้
20,ไม่ใช้
30,ไม่ใช้
25,ไม่ใช้
30,ใช้
30,ไม่ใช้
15,ไม่ใช้
30,ไม่ใช้
30,ไม่ใช้
30,ไม่ใช้
15,ไม่ใช้
15,ใช้
90,ใช้
20,ไม่ใช้
45,ใช้
30,ใช้
,
40,ไม่ใช้
40,ใช้
30,ใช้
120,ใช้
25,ไม่ใช้
15,ใช้
60,ใช้
45,ใช้
10,ใช้
15,ไม่ใช้
20,ใช้
15,ใช้
30,ไม่ใช้
10,ใช้
30,ไม่ใช้
120,ไม่ใช้
60,ไม่ใช้
10,ไม่ใช้
10,ไม่ใช้
30,ไม่ใช้
60,ใช้
10,ไม่ใช้
45,ใช้
20,ไม่ใช้
15,ไม่ใช้
15,ไม่ใช้
30,ใช้
60,ใช้
5,ไม่ใช้
20,ใช้
15,ใช้
30,ใช้
90,ไม่ใช้
20,ไม่ใช้
15,ใช้
20,ไม่ใช้
25,ไม่ใช้
17.5,ไม่ใช้
30,ใช้
30,ไม่ใช้
60,ใช้
10,ไม่ใช้
5,ใช้
15,ไม่ใช้
50,ใช้
30,ไม่ใช้
40,ไม่ใช้
60,ไม่ใช้
40,ไม่ใช้
40,ใช้
135,ใช้
15,ไม่ใช้
40,ใช้
10,ไม่ใช้
20,ใช้
120,ใช้
60,ไม่ใช้
12,ใช้
15,ไม่ใช้
30,ไม่ใช้
20,ไม่ใช้
60,ใช้
60,ไม่ใช้
45,ใช้
60,ไม่ใช้
40,ไม่ใช้
8,ใช้
20,ไม่ใช้
7,ใช้
30,ใช้
15,ใช้
60,ไม่ใช้
50,ไม่ใช้
30,ไม่ใช้
15,ไม่ใช้
20,ไม่ใช้
120,ไม่ใช้
20,ไม่ใช้
180,ใช้
10,ไม่ใช้
10,ไม่ใช้
45,ไม่ใช้
30,ไม่ใช้
50,ไม่ใช้
45,ไม่ใช้
10,ไม่ใช้
15,ไม่ใช้
45,ไม่ใช้
40,ไม่ใช้
5,ใช้
25,ใช้
20,ไม่ใช้
20,ใช้
60,ไม่ใช้
30,ไม่ใช้
20,ไม่ใช้
45,ไม่ใช้
10,ไม่ใช้
30,ใช้
15,ไม่ใช้
20,ใช้
40,ไม่ใช้
120,ใช้
10,ไม่ใช้
20,ใช้
30,ไม่ใช้
40,ใช้
20,ใช้
5,ใช้
5,ใช้
